1  	  {"members": [{"leg_id": "WAL000029", "role": "chair", "name": "Steve Litzow"}, {"leg_id": "WAL000069", "role": "vice chair", "name": "Bruce Dammeier"}, {"leg_id": "WAL000030", "role": "ranking minority member", "name": "Rosemary McAuliffe"}, {"leg_id": "WAL000126", "role": "assistant ranking minority member", "name": "Christine Rolfes"}, {"leg_id": "WAL000058", "role": "member", "name": "Andy Billig"}, {"leg_id": "WAL000192", "role": "member", "name": "Sharon Brown"}, {"leg_id": "WAL000166", "role": "member", "name": "Annette Cleveland"}, {"leg_id": "WAL000012", "role": "member", "name": "Joe Fain"}, {"leg_id": "WAL000019", "role": "member", "name": "Andy Hill"}, {"leg_id": "WAL000158", "role": "member", "name": "Mark Mullet"}, {"leg_id": "WAL000123", "role": "member", "name": "Ann Rivers"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000002"], "updated_at": "2014-10-02 05:13:10", "+office_phone": "(360) 786-7420", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Early Learning & K-12 Education", "chamber": "upper", "id": "WAC000002", "subcommittee": null}  	 Early Learning & K-12 Education 	 WAC000002 
2  	  {"members": [{"leg_id": "WAL000184", "role": "chair", "name": "Steve O'Ban"}, {"leg_id": "WAL000118", "role": "vice chair", "name": "Kirk Pearson"}, {"leg_id": "WAL000070", "role": "ranking minority member", "name": "Jeannie Darneille"}, {"leg_id": "WAL000014", "role": "assistant ranking minority member", "name": "James Hargrove"}, {"leg_id": "WAL000152", "role": "member", "name": "Mike Padden"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000009"], "updated_at": "2014-10-02 05:13:10", "+office_phone": "(360) 786-7414", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Human Services & Corrections", "chamber": "upper", "id": "WAC000009", "subcommittee": null}  	 Human Services & Corrections 	 WAC000009 
3  	  {"members": [{"leg_id": "WAL000010", "role": "chair", "name": "Tracey Eide"}, {"leg_id": "WAL000026", "role": "vice chair", "name": "Curtis King"}, {"leg_id": "WAL000020", "role": "ranking minority member", "name": "Steve Hobbs"}, {"leg_id": "WAL000012", "role": "assistant ranking minority member", "name": "Joe Fain"}, {"leg_id": "WAL000053", "role": "member", "name": "Jan Angel"}, {"leg_id": "WAL000192", "role": "member", "name": "Sharon Brown"}, {"leg_id": "WAL000166", "role": "member", "name": "Annette Cleveland"}, {"leg_id": "WAL000198", "role": "member", "name": "Brian Dansel"}, {"leg_id": "WAL000011", "role": "member", "name": "Doug Ericksen"}, {"leg_id": "WAL000103", "role": "member", "name": "Marko Liias"}, {"leg_id": "WAL000029", "role": "member", "name": "Steve Litzow"}, {"leg_id": "WAL000158", "role": "member", "name": "Mark Mullet"}, {"leg_id": "WAL000184", "role": "member", "name": "Steve O'Ban"}, {"leg_id": "WAL000126", "role": "member", "name": "Christine Rolfes"}, {"leg_id": "WAL000043", "role": "member", "name": "Tim Sheldon"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000014"], "updated_at": "2014-10-02 05:13:11", "+office_phone": "(360) 786-7300", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Transportation", "chamber": "upper", "id": "WAC000014", "subcommittee": null}  	 Transportation 	 WAC000014 
4  	  {"members": [{"leg_id": "WAL000019", "role": "chair", "name": "Andy Hill"}, {"leg_id": "WAL000001", "role": "vice chair", "name": "Michael Baumgartner"}, {"leg_id": "WAL000022", "role": "ranking minority member", "name": "Jim Honeyford"}, {"leg_id": "WAL000014", "role": "assistant ranking minority member", "name": "James Hargrove"}, {"leg_id": "WAL000024", "role": "member", "name": "Karen Keiser"}, {"leg_id": "WAL000038", "role": "member", "name": "Kevin Ranker"}, {"leg_id": "WAL000057", "role": "member", "name": "Barbara Bailey"}, {"leg_id": "WAL000003", "role": "member", "name": "Randi Becker"}, {"leg_id": "WAL000058", "role": "member", "name": "Andy Billig"}, {"leg_id": "WAL000165", "role": "member", "name": "John Braun"}, {"leg_id": "WAL000008", "role": "member", "name": "Steve Conway"}, {"leg_id": "WAL000069", "role": "member", "name": "Bruce Dammeier"}, {"leg_id": "WAL000013", "role": "member", "name": "Karen Fraser"}, {"leg_id": "WAL000078", "role": "member", "name": "David Frockt"}, {"leg_id": "WAL000085", "role": "member", "name": "Bob Hasegawa"}, {"leg_id": "WAL000016", "role": "member", "name": "Brian Hatfield"}, {"leg_id": "WAL000018", "role": "member", "name": "Mike Hewitt"}, {"leg_id": "WAL000028", "role": "member", "name": "Jeanne Kohl-Welles"}, {"leg_id": "WAL000152", "role": "member", "name": "Mike Padden"}, {"leg_id": "WAL000034", "role": "member", "name": "Linda Evans Parlette"}, {"leg_id": "WAL000123", "role": "member", "name": "Ann Rivers"}, {"leg_id": "WAL000042", "role": "member", "name": "Mark Schoesler"}, {"leg_id": "WAL000047", "role": "member", "name": "Rodney Tom"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000015"], "updated_at": "2014-10-02 05:13:10", "+office_phone": "(360) 786-7715", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Ways & Means", "chamber": "upper", "id": "WAC000015", "subcommittee": null}  	 Ways & Means 	 WAC000015 
5  	  {"members": [{"leg_id": "WAL000059", "role": "chair", "name": "Brian Blake"}, {"leg_id": "WAL000104", "role": "vice chair", "name": "Kristine Lytton"}, {"leg_id": "WAL000060", "role": "ranking minority member", "name": "Vincent Buys"}, {"leg_id": "WAL000181", "role": "assistant ranking minority member", "name": "Drew MacEwen"}, {"leg_id": "WAL000062", "role": "member", "name": "Bruce Chandler"}, {"leg_id": "WAL000073", "role": "member", "name": "Hans Dunshee"}, {"leg_id": "WAL000081", "role": "member", "name": "Kathy Haigh"}, {"leg_id": "WAL000091", "role": "member", "name": "Christopher Hurst"}, {"leg_id": "WAL000100", "role": "member", "name": "Joel Kretz"}, {"leg_id": "WAL000113", "role": "member", "name": "Ed Orcutt"}, {"leg_id": "WAL000120", "role": "member", "name": "Eric Pettigrew"}, {"leg_id": "WAL000130", "role": "member", "name": "Joe Schmick"}, {"leg_id": "WAL000137", "role": "member", "name": "Derek Stanford"}, {"leg_id": "WAL000143", "role": "member", "name": "Kevin Van De Wege"}, {"leg_id": "WAL000145", "role": "member", "name": "Judy Warnick"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000016"], "updated_at": "2014-10-02 05:13:10", "+office_phone": "(360) 786-7144", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Agriculture & Natural Resources", "chamber": "lower", "id": "WAC000016", "subcommittee": null}  	 Agriculture & Natural Resources 	 WAC000016 
6  	  {"members": [{"leg_id": "WAL000098", "role": "chair", "name": "Steve Kirby"}, {"leg_id": "WAL000128", "role": "vice chair", "name": "Cindy Ryu"}, {"leg_id": "WAL000117", "role": "ranking minority member", "name": "Kevin Parker"}, {"leg_id": "WAL000162", "role": "assistant ranking minority member", "name": "Brandon Vick"}, {"leg_id": "WAL000059", "role": "member", "name": "Brian Blake"}, {"leg_id": "WAL000075", "role": "member", "name": "Susan Fagan"}, {"leg_id": "WAL000176", "role": "member", "name": "Cyrus Habib"}, {"leg_id": "WAL000177", "role": "member", "name": "Brad Hawkins"}, {"leg_id": "WAL000088", "role": "member", "name": "Zack Hudgins"}, {"leg_id": "WAL000206", "role": "member", "name": "Graham Hunt"}, {"leg_id": "WAL000091", "role": "member", "name": "Christopher Hurst"}, {"leg_id": "WAL000180", "role": "member", "name": "Linda Kochmar"}, {"leg_id": "WAL000181", "role": "member", "name": "Drew MacEwen"}, {"leg_id": "WAL000129", "role": "member", "name": "Sharon Tomiko Santos"}, {"leg_id": "WAL000137", "role": "member", "name": "Derek Stanford"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000017"], "updated_at": "2014-10-02 05:13:11", "+office_phone": "(360) 786-7128", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Business & Financial Services", "chamber": "lower", "id": "WAC000017", "subcommittee": null}  	 Business & Financial Services 	 WAC000017 
7  	  {"members": [{"leg_id": "WAL000073", "role": "chair", "name": "Hans Dunshee"}, {"leg_id": "WAL000137", "role": "vice chair", "name": "Derek Stanford"}, {"leg_id": "WAL000071", "role": "ranking minority member", "name": "Richard DeBolt"}, {"leg_id": "WAL000181", "role": "assistant ranking minority member", "name": "Drew MacEwen"}, {"leg_id": "WAL000054", "role": "member", "name": "Sherry Appleton"}, {"leg_id": "WAL000205", "role": "member", "name": "Leonard Christian"}, {"leg_id": "WAL000186", "role": "member", "name": "Marcus Riccelli"}, {"leg_id": "WAL000199", "role": "member", "name": "June Robinson"}, {"leg_id": "WAL000188", "role": "member", "name": "Elizabeth Scott"}, {"leg_id": "WAL000196", "role": "member", "name": "Tana Senn"}, {"leg_id": "WAL000135", "role": "member", "name": "Norma Smith"}, {"leg_id": "WAL000189", "role": "member", "name": "Monica Stonier"}, {"leg_id": "WAL000145", "role": "member", "name": "Judy Warnick"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000018"], "updated_at": "2014-10-02 05:13:11", "+office_phone": "(360) 786-7132", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Capital Budget", "chamber": "lower", "id": "WAC000018", "subcommittee": null}  	 Capital Budget 	 WAC000018 
8  	  {"members": [{"leg_id": "WAL000095", "role": "chair", "name": "Ruth Kagi"}, {"leg_id": "WAL000175", "role": "vice chair", "name": "Roger Freeman"}, {"leg_id": "WAL000144", "role": "ranking minority member", "name": "Maureen Walsh"}, {"leg_id": "WAL000188", "role": "assistant ranking minority member", "name": "Elizabeth Scott"}, {"leg_id": "WAL000075", "role": "member", "name": "Susan Fagan"}, {"leg_id": "WAL000079", "role": "member", "name": "Roger Goodman"}, {"leg_id": "WAL000181", "role": "member", "name": "Drew MacEwen"}, {"leg_id": "WAL000208", "role": "member", "name": "Lillian Ortiz-Self"}, {"leg_id": "WAL000124", "role": "member", "name": "Mary Helen Roberts"}, {"leg_id": "WAL000187", "role": "member", "name": "David Sawyer"}, {"leg_id": "WAL000196", "role": "member", "name": "Tana Senn"}, {"leg_id": "WAL000207", "role": "member", "name": "Jesse Young"}, {"leg_id": "WAL000147", "role": "member", "name": "Hans Zeiger"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000020"], "updated_at": "2014-10-02 05:13:10", "+office_phone": "(360) 786-7160", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Early Learning & Human Services", "chamber": "lower", "id": "WAC000020", "subcommittee": null}  	 Early Learning & Human Services 	 WAC000020 
9  	  {"members": [{"leg_id": "WAL000129", "role": "chair", "name": "Sharon Tomiko Santos"}, {"leg_id": "WAL000189", "role": "vice chair", "name": "Monica Stonier"}, {"leg_id": "WAL000182", "role": "ranking minority member", "name": "Chad Magendanz"}, {"leg_id": "WAL000195", "role": "assistant ranking minority member", "name": "Dick Muri"}, {"leg_id": "WAL000172", "role": "member", "name": "Steve Bergquist"}, {"leg_id": "WAL000174", "role": "member", "name": "Jake Fey"}, {"leg_id": "WAL000081", "role": "member", "name": "Kathy Haigh"}, {"leg_id": "WAL000083", "role": "member", "name": "Mark Hargrove"}, {"leg_id": "WAL000177", "role": "member", "name": "Brad Hawkins"}, {"leg_id": "WAL000178", "role": "member", "name": "Dave Hayes"}, {"leg_id": "WAL000089", "role": "member", "name": "Sam Hunt"}, {"leg_id": "WAL000094", "role": "member", "name": "Norm Johnson"}, {"leg_id": "WAL000099", "role": "member", "name": "Brad Klippert"}, {"leg_id": "WAL000104", "role": "member", "name": "Kristine Lytton"}, {"leg_id": "WAL000115", "role": "member", "name": "Tina Orwall"}, {"leg_id": "WAL000117", "role": "member", "name": "Kevin Parker"}, {"leg_id": "WAL000154", "role": "member", "name": "Gerry Pollet"}, {"leg_id": "WAL000131", "role": "member", "name": "Larry Seaquist"}, {"leg_id": "WAL000145", "role": "member", "name": "Judy Warnick"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000021"], "updated_at": "2014-10-02 05:13:12", "+office_phone": "(360) 786-7292", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Education", "chamber": "lower", "id": "WAC000021", "subcommittee": null}  	 Education 	 WAC000021 
10  	  {"members": [{"leg_id": "WAL000077", "role": "chair", "name": "Joe Fitzgibbon"}, {"leg_id": "WAL000196", "role": "vice chair", "name": "Tana Senn"}, {"leg_id": "WAL000134", "role": "ranking minority member", "name": "Shelly Short"}, {"leg_id": "WAL000157", "role": "assistant ranking minority member", "name": "Liz Pike"}, {"leg_id": "WAL000173", "role": "member", "name": "Jessyn Farrell"}, {"leg_id": "WAL000174", "role": "member", "name": "Jake Fey"}, {"leg_id": "WAL000084", "role": "member", "name": "Paul Harris"}, {"leg_id": "WAL000095", "role": "member", "name": "Ruth Kagi"}, {"leg_id": "WAL000110", "role": "member", "name": "Jeff Morris"}, {"leg_id": "WAL000112", "role": "member", "name": "Terry Nealey"}, {"leg_id": "WAL000208", "role": "member", "name": "Lillian Ortiz-Self"}, {"leg_id": "WAL000116", "role": "member", "name": "Jason Overstreet"}, {"leg_id": "WAL000141", "role": "member", "name": "Steve Tharinger"}], "level": "state", "country": "us", "created_at": "2011-02-25 17:49:02", "all_ids": ["WAC000023"], "updated_at": "2014-10-02 05:13:11", "+office_phone": "(360) 786-7297", "state": "wa", "sources": [{"url": "http://wslwebservices.leg.wa.gov/CommitteeService.asmx/GetActiveCommittees?biennium=2013-14"}], "parent_id": null, "committee": "Environment", "chamber": "lower", "id": "WAC000023", "subcommittee": null}  	 Environment 	 WAC000023 
